Drug_Target,GROUNDTRUTH
C0041014_C0004238,1
C4042416_C0030567,1
C1135135_C0023890,1
C0060926_C0023890,1
C0913506_C0023895,1
C0913506_C0011168,1
C3490329_C0030567,1
C3490329_C0154246,1
C0000970_C0030567,1
C0000970_C0020538,1
C0000970_C0027765,1
C0000970_C0028754,1
C0209738_C0002395,1
C0209738_C0023890,1
C0026549_C0027051,1
C0026549_C0018790,1
C0026549_C0028754,1
C0028005_C0007222,1
C0087163_C0004238,1
C0087163_C0018802,1
C0087163_C1145670,1
C0087163_C0085584,1
C0022949_C0004096,1
C0136123_C0002395,1
C0136123_C0007222,1
C0136123_C0027051,1
C1135764_C0162309,1
C1135764_C1527231,1
C0036773_C0023890,1
C0304925_C0023890,1
C0036773_C1527231,1
C0304925_C1527231,1
C0036773_C0002395,1
C0304925_C0002395,1
C0013090_C0027051,1
C0013090_C0002395,1
C0013090_C0030567,1
C0377265_C0030567,1
C0377265_C0494475,1
C0377265_C0002395,1
C0209368_C0018799,1
C0209368_C0007222,1
C0209368_C0026896,1
C0209368_C0020538,1
C0209368_C0023895,1
C0068475_C0007222,1
C0078844_C0028754,1
C0078844_C0030567,1
C0072953_C0028754,1
C0090306_C0020538,1
C1533126_C0442874,1
C0038418_C0027051,1
C0288171_C0018802,1
C0288171_C0004238,1
C0288171_C0007222,1
C0014695_C0002395,1
C0014695_C0028754,1
C0014695_C0004096,1
C0014695_C0011849,1
C0252643_C0018802,1
C2825457_C0018802,1
C0252643_C0020538,1
C2825457_C0020538,1
C0252643_C0023890,1
C2825457_C0023890,1
C0252643_C0004096,1
C2825457_C0004096,1
C0252643_C0011849,1
C2825457_C0011849,1
C0001275_C0004096,1
C0007009_C0004096,1
C0001275_C0085584,1
C0007009_C0085584,1
C0027302_C0004096,1
C0027302_C0027051,1
C0027302_C0007222,1
C0040374_C0011849,1
C0063491_C0028754,1
C3489899_C0002395,1
C1567753_C0002395,1
C0045283_C0007222,1
C0000981_C0018802,1
C0025887_C0027051,1
C0025887_C2931688,1
C0649350_C0030567,1
C0063479_C0004238,1
C1174893_C0004096,1
C0074393_C0028754,1
C0074393_C0020179,1
C1722267_C0524851,1
C1722267_C0002395,1
C0291140_C1961835,1
C0291140_C0268251,1
C0291140_C0017205,1
C0011777_C0023890,1
C0011777_C0027765,1
C0011777_C0011168,1
C0011777_C0018802,1
C0011777_C0020538,1
C0006462_C0030567,1
C0017817_C0030567,1
C0034917_C0030567,1
C0017817_C0442874,1
C0034917_C0442874,1
C0006686_C0018790,1
C3645709_C0018790,1
C0034261_C0030567,1
C0034261_C0011849,1
C0075783_C0007222,1
C0213771_C0004096,1
C0004147_C0011849,1
C0004147_C0018799,1
C0004147_C0007222,1
C0004147_C0004238,1
C0054173_C0002395,1
C0009014_C0007222,1
C0006230_C0002395,1
C0006230_C0028754,1
C0033215_C0007222,1
C0700784_C0007222,1
C0076107_C0030567,1
C0040165_C0011849,1
C0048897_C0031485,1
C0048897_C0020538,1
C0048897_C0751435,1
C0048897_C0002395,1
C0048897_C0020541,1
C0048897_C0023890,1
C0028040_C0030567,1
C0068722_C0030567,1
C0005320_C0007222,1
C4055478_C0023895,1
C0041485_C0028754,1
C2746078_C0020538,1
C2746078_C0011849,1
C4520219_C0002986,1
C4520219_C0011849,1
C1099456_C0002395,1
C0040108_C0007222,1
C1739768_C0027051,1
C1739768_C0018799,1
C1739768_C0023890,1
C0029904_C0007222,1
C0035608_C0030567,1
C0035608_C0011849,1
C0035608_C0002395,1
C1541483_C0011849,1
C1541483_C0026896,1
C0063041_C0026896,1
C0002421_C0030567,1
C0002421_C0017205,1
C0020934_C0027051,1
C4082435_C0027051,1
C0132512_C0002395,1
C0132512_C0007222,1
C2350948_C0442874,1
C2350948_C0023895,1
C2350948_C0007222,1
C0010583_C0026848,1
C1880207_C0026848,1
C0010583_C0026896,1
C1880207_C0026896,1
C0010583_C0023521,1
C1880207_C0023521,1
C0010583_C0017205,1
C1880207_C0017205,1
C0014563_C0007222,1
C0014563_C0004096,1
C0014563_C0011849,1
C0014563_C0018790,1
C0526399_C0007222,1
C5139827_C0004096,1
C0017628_C0011849,1
C0076195_C1145670,1
C1571583_C0004238,1
C0026400_C0007222,1
C0020336_C1145670,1
C0074710_C0002395,1
C0028094_C0007222,1
C2698875_C0030567,1
C2698875_C0023895,1
C0257343_C0020538,1
C0020223_C0018802,1
C0020223_C0002395,1
C0020223_C0018799,1
C0022252_C0018802,1
C0022252_C0007222,1
C0071097_C0011849,1
C0071097_C0002395,1
C0071097_C0023895,1
C0071097_C1527231,1
C0071097_C0162309,1
C0071097_C0020538,1
C0071097_C0004096,1
C0071097_C0007222,1
C0071097_C0030567,1
C0011701_C0020538,1
C0701195_C0020538,1
C4742219_C0007194,1
C0023863_C0030567,1
C0025859_C0028754,1
C0025859_C0007222,1
C0025859_C0004238,1
C0025859_C0018799,1
C0025859_C0018802,1
C0025859_C0007194,1
C1831905_C0023895,1
C1831905_C0023890,1
C0001443_C0878544,1
C0001443_C0027051,1
C0001443_C0004238,1
C0001443_C0007222,1
C0037707_C0007222,1
C0037707_C0027051,1
C0022005_C0002986,1
C0041190_C0030567,1
C2353951_C0028754,1
C2353951_C0004238,1
C2353951_C0027051,1
C2353951_C0011849,1
C2353951_C0002395,1
C0383429_C0023895,1
C0050393_C0011849,1
C0050393_C0025517,1
C0050393_C0028754,1
C0050393_C0020538,1
C3852684_C0023895,1
C2983812_C0023895,1
C0051696_C0007222,1
C0051696_C0023895,1
C0051696_C0018802,1
C0051696_C0027051,1
C0051696_C0011849,1
C0051696_C0018799,1
C0051696_C0007194,1
C1176316_C0018802,1
C1176316_C0028754,1
C1176316_C0020538,1
C1176316_C0026850,1
C0012022_C0020615,1
C0012022_C0028754,1
C0078794_C0028754,1
C4519269_C0023895,1
C0006463_C0023521,1
C0006463_C0017205,1
C0006463_C0019247,1
C0028193_C0028754,1
C0028193_C0018802,1
C0028193_C0027051,1
C0028193_C0007222,1
C4278516_C1961835,1
C4726953_C1961835,1
C4278516_C0002986,1
C4726953_C0002986,1
C4278516_C0030567,1
C4726953_C0030567,1
C4278516_C0268251,1
C4726953_C0268251,1
C0249529_C0020538,1
C0249529_C0007222,1
C0008405_C0028754,1
C2974521_C0948089,1
C1741584_C0020179,1
C1741584_C0030567,1
C0040805_C0002395,1
C0056732_C0023890,1
C0037659_C0020541,1
C0037659_C0020615,1
C0967014_C0030567,1
C0027348_C0023895,1
C0069717_C0442874,1
C0069717_C0023895,1
C0042313_C0028754,1
C1506770_C0085584,1
C0032483_C0030567,1
C0724672_C0030567,1
C0032483_C0028754,1
C0724672_C0028754,1
C0036079_C0007222,1
C0036079_C0948089,1
C0017890_C0004096,1
C0017890_C0020538,1
C0017890_C0002395,1
C0012963_C0018802,1
C0012963_C0007222,1
C0008932_C0030567,1
C0285984_C0030567,1
C0012066_C0162671,1
C0600203_C0162671,1
C0001927_C0004096,1
C0001927_C0007222,1
C0001927_C1145670,1
C0001927_C0018802,1
C0001927_C0011849,1
C0165032_C0023890,1
C0246631_C0018799,1
C0525678_C0002395,1
C0065374_C0007222,1
C0065374_C0011849,1
C0065374_C0018802,1
C0021547_C0002395,1
C0033228_C0011849,1
C0033228_C0020179,1
C0033228_C0007222,1
C0033228_C0025517,1
C0033228_C0028754,1
C0033228_C0020538,1
C0137996_C0020538,1
C4033447_C0027051,1
C4033447_C0007194,1
C4033447_C0018802,1
C0905464_C0007222,1
C0033429_C0027051,1
C1121991_C0948089,1
C1121991_C0027051,1
C0022251_C0020538,1
C0004057_C0004238,1
C0699278_C0004238,1
C0004057_C0004096,1
C0699278_C0004096,1
C0004057_C0020538,1
C0699278_C0020538,1
C0004057_C0018799,1
C0699278_C0018799,1
C0004057_C0011849,1
C0699278_C0011849,1
C0004057_C0007222,1
C0699278_C0007222,1
C0004057_C0007194,1
C0699278_C0007194,1
C0004057_C1145670,1
C0699278_C1145670,1
C0004057_C0948089,1
C0699278_C0948089,1
C0016360_C0442874,1
C3273375_C0002395,1
C3273375_C2931688,1
C0005330_C0007222,1
C0076829_C0028754,1
C0076829_C0030567,1
C0076829_C0011849,1
C0076829_C0023895,1
C0076829_C0020538,1
C0937858_C0027051,1
C0068700_C0027051,1
C0068700_C0007222,1
C0002600_C0011849,1
C0085208_C0002395,1
C0085208_C0020179,1
C0085208_C0019202,1
C0114873_C0011849,1
C0114873_C0027051,1
C0114873_C0018799,1
C0032825_C0027051,1
C0032825_C0020538,1
C0032825_C0018799,1
C0032825_C0018802,1
C3491162_C0007222,1
C3491162_C0011849,1
C0020261_C0023890,1
C0020261_C0007222,1
C0020261_C0011849,1
C0020261_C0027051,1
C0020261_C0018802,1
C0006675_C0028754,1
C0006675_C0018799,1
C0006675_C0020538,1
C0006675_C0030567,1
C0004482_C0878544,1
C0380393_C0007222,1
C0671970_C0085584,1
C0020268_C0018790,1
C0020268_C0004238,1
C0020268_C0027051,1
C0020268_C0028754,1
C0020268_C0023890,1
C3529928_C0030567,1
C0022860_C0007222,1
C0113293_C0085584,1
C0113293_C0018799,1
C0113293_C0028754,1
C0113293_C0004238,1
C0113293_C0002395,1
C0113293_C0020538,1
C0113293_C1145670,1
C0074722_C0018799,1
C1700695_C0028754,1
C1098510_C0004238,1
C1098510_C0948089,1
C1098510_C1145670,1
C0028158_C0018802,1
C4287804_C0023895,1
C0123163_C0162671,1
C0123163_C0020179,1
C0011479_C0028754,1
C0086123_C0028754,1
C0030106_C0011849,1
C0026078_C0007222,1
C0033209_C0028754,1
C0027996_C0007222,1
C0027996_C0948089,1
C0027996_C0027051,1
C0027996_C0028754,1
C0025598_C0004238,1
C0025598_C0011849,1
C0025598_C0948089,1
C0025598_C0028754,1
C0025598_C0020538,1
C0025598_C0026850,1
C0025598_C0020179,1
C0025598_C0025517,1
C0025598_C0442874,1
C0025598_C0007222,1
C0001962_C0004238,1
C0001962_C0020538,1
C0001962_C0023890,1
C0001962_C0028754,1
C0017887_C0020538,1
C0017887_C0007222,1
C0017887_C0018802,1
C0017887_C0027051,1
C0035179_C0018799,1
C0022154_C0002395,1
C0541315_C0948089,1
C0065180_C0004096,1
C0034414_C0027051,1
C0209337_C0018790,1
C0245561_C0011849,1
C0245561_C0030567,1
C0245561_C0442874,1
C0010592_C0018799,1
C0010592_C0011849,1
C0010592_C0018790,1
C0010592_C0027051,1
C0010592_C0023895,1
C0144576_C0442874,1
C0678133_C0442874,1
C0028351_C0007222,1
C0028351_C0028754,1
C0028351_C0018799,1
C0012384_C0019202,1
C0126791_C0004096,1
C0026187_C0004096,1
C3281328_C0004096,1
C0026187_C0030567,1
C3281328_C0030567,1
C0026187_C0004238,1
C3281328_C0004238,1
C0026187_C0020179,1
C3281328_C0020179,1
C0026187_C0020538,1
C3281328_C0020538,1
C0086244_C0002395,1
C4548848_C0002395,1
C0000545_C0023895,1
C0000545_C0028754,1
C0000545_C0004096,1
C0000545_C0007222,1
C0005014_C0030567,1
C0717758_C0004096,1
C4291381_C0004096,1
C0717758_C0002395,1
C4291381_C0002395,1
C1609165_C0026896,1
C1451975_C0017205,1
C0118168_C0007222,1
C0118168_C0018799,1
C0247025_C0027051,1
C0247025_C1145670,1
C0025872_C0085584,1
C0000578_C0028754,1
C3661282_C0023895,1
C2698764_C0494475,1
C2698764_C0030567,1
C0006657_C0027051,1
C2713074_C0027051,1
C0026056_C1145670,1
C0026056_C0028754,1
C0026056_C0002395,1
C0026056_C0030567,1
C0026056_C0007222,1
C0026056_C0023890,1
C0026056_C0027765,1
C0026056_C0020538,1
C0298130_C0002395,1
C0937846_C0004096,1
C0120446_C0026896,1
C0246904_C0007222,1
C0025646_C0023895,1
C0015840_C0018802,1
C0032952_C0878544,1
C0032952_C0268250,1
C0032952_C0018799,1
C0032952_C0026896,1
C0032952_C0017205,1
C0032952_C0002395,1
C0032952_C0030567,1
C0032952_C0018802,1
C0963398_C0023895,1
C0039350_C0020538,1
C0039350_C0019880,1
C0050465_C0004096,1
C0050465_C0007222,1
C0072591_C0007222,1
C0059438_C0023890,1
C0059438_C0030567,1
C0059438_C0020179,1
C0059438_C0002395,1
C1700683_C0002395,1
C0073379_C0442874,1
C0073379_C0020179,1
C0073379_C0004238,1
C0073379_C0087012,1
C0073379_C0002395,1
C0009002_C0027051,1
C0009002_C0007222,1
C0030883_C0018799,1
C0025810_C0002395,1
C0025810_C0030567,1
C0672708_C0002395,1
C0672708_C0085584,1
C0039840_C0018799,1
C0039840_C0085584,1
C0039840_C0020179,1
C0039840_C1145670,1
C0039840_C0018790,1
C0039840_C0001125,1
C0012498_C0007222,1
C0058188_C0002395,1
C0058188_C0020179,1
C0245109_C0004096,1
C0245109_C0011849,1
C0245109_C0020615,1
C0128513_C0007222,1
C0142785_C0268542,1
C0887700_C0268542,1
C0291216_C0018802,1
C0032896_C0007222,1
C0024730_C0004096,1
C2348066_C0004238,1
C0037982_C0011849,1
C0037982_C0004238,1
C0037982_C0007222,1
C0037982_C0023890,1
C0037982_C0018802,1
C0037982_C0027051,1
C0043832_C0030567,1
C0935989_C0004096,1
C0935989_C0023890,1
C0072980_C0268250,1
C0072980_C0017205,1
C0072980_C0030567,1
C0072980_C0007222,1
C0072980_C0020538,1
C0012265_C0011849,1
C0012265_C0018802,1
C0012265_C0007222,1
C0002268_C0002986,1
C0962517_C0002986,1
C1137427_C0002986,1
C0030054_C0011849,1
C0302920_C0011849,1
C0030054_C0085584,1
C0302920_C0085584,1
C0031448_C0007222,1
C0031448_C0028754,1
C0031448_C0020615,1
C1506802_C0002395,1
C0036720_C0002395,1
C0019588_C0004096,1
C1312149_C0030567,1
C0171023_C0020179,1
C0527379_C0027051,1
C0527379_C0018802,1
C0527379_C0011849,1
C0527379_C0007222,1
C4078709_C0007222,1
C0008318_C0004096,1
C0008318_C0028754,1
C0008318_C0011849,1
C0008318_C1145670,1
C0008318_C0030567,1
C0008318_C0007222,1
C0008318_C0162309,1
C0299792_C0002395,1
C0085173_C0004096,1
C0016860_C0023890,1
C0016860_C0011849,1
C0016860_C0007222,1
C0006376_C0018802,1
C0006376_C0007222,1
C0034417_C0028754,1
C0065864_C0011849,1
C0065864_C0020538,1
C0065864_C0002395,1
C0065864_C0018799,1
C1569608_C0948089,1
C1569608_C0030567,1
C1569608_C0002395,1
C0886584_C0020538,1
C0002645_C0028754,1
C2828282_C0028754,1
C0002645_C0004096,1
C2828282_C0004096,1
C0022245_C0007222,1
C0022245_C0018802,1
C0022245_C0004238,1
C0022245_C0028754,1
C0077857_C0020538,1
C0003765_C0007222,1
C0003765_C0162671,1
C0003765_C0023890,1
C0003765_C0020538,1
C0003765_C0002395,1
C0003765_C0018802,1
C0003765_C0004096,1
C1120110_C0004238,1
C1120110_C0011849,1
C1120110_C0007222,1
C1120110_C0018802,1
C1120110_C0948089,1
C1120110_C0027051,1
C2604598_C0020179,1
C0021665_C0011849,1
C0904505_C0011849,1
C0292818_C0023895,1
C0292818_C0020538,1
C0025677_C0004096,1
C0025677_C0027051,1
C0025677_C0026896,1
C0025677_C0007222,1
C0025242_C0030567,1
C0025242_C0002395,1
C0025242_C0028754,1
C0025242_C0020179,1
C4508906_C0002395,1
C0040180_C0020179,1
C0048044_C0028754,1
C1566537_C0011849,1
C0083536_C0007222,1
C0083536_C0004096,1
C0028027_C0002395,1
C0028027_C0524851,1
C0030032_C0023895,1
C0063340_C0007222,1
C2604745_C0007222,1
C0012702_C0004238,1
C0103306_C0020538,1
C0103306_C0028754,1
C0103306_C1145670,1
C0022614_C1145670,1
C0079883_C1145670,1
C0022614_C0018790,1
C0079883_C0018790,1
C0028128_C0018802,1
C0028128_C1145670,1
C0028128_C0018790,1
C0033497_C0027051,1
C0033497_C0020615,1
C0033497_C0023890,1
C0033497_C0028754,1
C0033497_C0020541,1
C0033497_C0004096,1
C0033497_C0007222,1
C0074414_C1145670,1
C0074414_C0028754,1
C0074414_C0018799,1
C0066677_C0028754,1
C1701455_C0028754,1
C0026088_C0002395,1
C0026088_C0011849,1
C0039763_C0007222,1
C0032143_C0027765,1
C0032143_C0027051,1
C0032143_C0018802,1
C0085272_C0002395,1
C0085272_C0020538,1
C0085272_C0028754,1
C0030304_C0020615,1
C0009008_C0028754,1
C0673470_C0023895,1
C0657912_C0494475,1
C0657912_C0011849,1
C0657912_C0442874,1
C3179547_C0004096,1
C3814772_C0004096,1
C0036442_C0002395,1
C0036444_C0002395,1
C5139823_C0002395,1
C0033487_C0023890,1
C0033487_C0028754,1
C0033487_C0020538,1
C0033487_C0018799,1
C0022265_C0002395,1
C0016967_C0028754,1
C0024002_C0002395,1
C0085217_C0020179,1
C0700189_C0020179,1
C0085217_C0030567,1
C0700189_C0030567,1
C0085217_C0002395,1
C0700189_C0002395,1
C0085217_C0752120,1
C0700189_C0752120,1
C4305843_C0002395,1
C0062961_C0002395,1
C0002334_C0007222,1
C0006938_C0018802,1
C0006938_C0018799,1
C0006938_C0027051,1
C0006938_C0007222,1
C0021246_C0004096,1
C0021246_C0002395,1
C0021246_C0007222,1
C0016410_C0002395,1
C0178638_C0002395,1
C0699376_C0002395,1
C0016410_C0027051,1
C0178638_C0027051,1
C0699376_C0027051,1
C0016410_C0020538,1
C0178638_C0020538,1
C0699376_C0020538,1
C0016410_C0018799,1
C0178638_C0018799,1
C0699376_C0018799,1
C0042845_C0002395,1
C0042845_C0027051,1
C0020740_C0002395,1
C0020740_C0020538,1
C0020740_C0007222,1
C2931926_C0023895,1
C1620287_C0018799,1
C1620287_C0027051,1
C1620287_C0004096,1
C1620287_C0004238,1
C0008864_C1145670,1
C0008864_C0004096,1
C0008864_C0020538,1
C0008864_C0162671,1
C3273401_C0017205,1
C1705480_C0018790,1
C1705480_C0018799,1
C0013030_C0030567,1
C0013030_C0027051,1
C0013030_C0018802,1
C0013030_C0007222,1
C0013030_C0011849,1
C0006982_C0004096,1
C0006982_C0020538,1
C0008269_C0085584,1
C0008269_C0004238,1
C0055729_C0007222,1
C0165921_C0028754,1
C0003009_C0007222,1
C0003018_C0007222,1
C0051871_C0007222,1
C0003009_C0020538,1
C0003018_C0020538,1
C0051871_C0020538,1
C0035527_C0027051,1
C0035527_C0001125,1
C0017718_C0028754,1
C0765273_C0002395,1
C0007299_C0007222,1
C0023413_C0442874,1
C4048232_C0442874,1
C0006865_C0020179,1
C0006865_C0030567,1
C0556150_C0023895,1
C2348308_C0023895,1
C0556150_C0028754,1
C2348308_C0028754,1
C0556150_C0007222,1
C2348308_C0007222,1
C0556150_C0030567,1
C2348308_C0030567,1
C0556150_C0018799,1
C2348308_C0018799,1
C0556150_C0002395,1
C2348308_C0002395,1
C0556150_C0004096,1
C2348308_C0004096,1
C3179470_C0023895,1
C0054015_C0028754,1
C0054015_C0020538,1
C0054015_C0007222,1
C0054015_C0878544,1
C0054015_C0011849,1
C0054015_C0948089,1
C0054015_C0027051,1
C1142931_C0002395,1
C0016277_C0002395,1
C0699601_C0002395,1
C4082694_C0002395,1
C0003420_C0004096,1
C0079083_C0020538,1
C0079083_C0442874,1
